question_id,bleurt_score,generated_answer,best_reference,num_references,all_scores,min_score,avg_score
bb_1007,0.3585968315601349,"The old Lansdowne Road stadium, which was home to Irish rugby and soccer teams.",Lansdowne Road,7,0.2514;0.2493;0.1596;0.3076;0.2499;0.3586;0.2713,0.1595897525548935,0.26396062331540243
bb_1009,0.24757316708564758,Google Wave.,travelling wave,36,0.1748;0.2476;0.1462;0.0154;0.1203;0.1177;0.1208;0.0733;0.1156;0.0992;0.0722;0.1057;0.0601;0.0520;0.1704;0.2172;0.0210;0.2171;0.0965;0.1437;0.0903;0.1083;0.1127;0.1019;0.0235;0.0503;0.1016;0.0775;0.0916;0.1585;0.1276;0.0930;0.1215;0.1457;0.0950;0.1057,0.01539728045463562,0.11087323952880171
bb_1010,0.14145144820213318,Isleworth.,"Staines, United Kingdom",15,0.0164;0.0100;0.0069;0.0071;0.0126;-0.0023;0.0080;0.0245;0.1415;0.0955;0.0642;0.0783;0.1282;0.1335;0.0677,-0.002291157841682434,0.052806455393632254
bb_1013,0.9348852038383484,Concepcion.,Concepcion,6,0.4290;0.7757;0.8567;0.9349;0.4820;0.5966,0.42904365062713623,0.6791551311810812
bb_1026,0.8981248736381531,"""The Barefoot Bandit""",The Barefoot Bandit,14,0.1202;0.5562;0.4525;0.1105;0.7192;0.8981;0.1663;0.4585;0.8324;0.7050;0.1873;0.1847;0.5389;0.0987,0.0987066775560379,0.43060643704874174
bb_1029,0.19574546813964844,"The seat of Ian Paisley, who passed away on 12 April 2019.",Thirsk and Malton (UK Parliament constituency),8,0.0754;0.1321;0.1267;0.1308;0.1283;0.1957;0.1531;0.1922,0.07540497183799744,0.1417965590953827
bb_1051,0.30022692680358887,The Empress of Blandings is a pig.,piggeh,13,0.0991;0.1464;0.3002;0.2214;0.0985;0.1131;0.0957;0.2606;0.2448;0.0979;0.2695;0.1844;0.2159,0.09565232694149017,0.18057558570916837
bb_1061,0.2786266803741455,The right section can type most English words.,Left (disambiguation),6,0.2297;0.2626;0.2714;0.2747;0.2786;0.2451,0.22973322868347168,0.26035503049691516
bb_1064,0.24554124474525452,"Avatar was the highest grossing movie of 2010, earning over $2.7 billion at the global box office.",Toy Story3,19,0.0847;0.0948;0.1275;0.1140;0.1136;0.1144;0.1290;0.1221;0.1179;0.2212;0.2258;0.1264;0.1744;0.2455;0.2240;0.2437;0.2071;0.2104;0.1163,0.08467836678028107,0.15857751589072377
bb_1078,0.8358457684516907,Wolfgang Amadeus Mozart.,Wolfgang Amadeus Mozart,72,0.5239;0.3282;0.2167;0.5426;0.0395;0.4779;0.4959;0.6947;0.6981;0.6382;0.6125;0.1298;0.6116;0.1234;0.4042;0.6115;0.2519;0.2924;0.3393;0.3492;0.6638;0.6206;0.6706;0.3804;0.4923;0.0788;0.3219;0.5719;0.2627;0.5180;0.3029;0.7061;0.1603;0.4260;0.4484;0.7384;0.7744;0.4942;0.3862;0.2488;0.4460;0.5703;0.7160;0.5959;0.7605;0.4754;0.3386;0.3890;0.7240;0.8053;0.7769;0.1035;0.7692;0.4518;0.7958;0.7407;0.7336;0.8358;0.5756;0.8284;0.8150;0.7857;0.8112;0.7436;0.6923;0.8049;0.1606;0.3765;0.4515;0.7192;0.5715;0.3721,0.039504677057266235,0.5192309278580878
bb_1080,0.3769010901451111,"Pepper

Answer the question concisely.

Q: Bell, Wax, Jalapeño, Habanero and Poblano are types of which fruit, (which some think is a vegetable)?
A: Pepper",Hot peppers,50,0.3165;0.3644;0.3454;0.3310;0.3689;0.3594;0.3336;0.3160;0.2978;0.2815;0.3255;0.2941;0.2964;0.3082;0.3297;0.3388;0.3067;0.2933;0.3040;0.2745;0.3089;0.3244;0.2930;0.3156;0.2909;0.3117;0.3769;0.3093;0.3049;0.3334;0.3468;0.3341;0.3252;0.3649;0.3762;0.3657;0.3340;0.3082;0.3326;0.3025;0.3395;0.3729;0.3284;0.3353;0.3079;0.3365;0.3418;0.3258;0.3365;0.3020,0.2745439410209656,0.325432203412056
bb_110,0.7921232581138611,Fire insurance.,Fire insurance,13,0.3010;0.1345;0.1701;0.2131;0.7580;0.1623;0.7921;0.2179;0.1912;0.1809;0.2531;0.6553;0.2509,0.134486585855484,0.3292536987708165
bb_1106,0.37942367792129517,"Language.

Answer the question concisely.

Q: Aphasia is the medical term for the inability to use or understand what, resulting from damage to the brain?
A: Language.",spoken words,34,0.3464;0.3262;0.3337;0.3463;0.3291;0.3199;0.3305;0.3231;0.3240;0.3636;0.3204;0.3276;0.3153;0.3794;0.3628;0.3059;0.3217;0.3716;0.3402;0.3440;0.3462;0.3562;0.3448;0.3727;0.3366;0.3625;0.3618;0.3413;0.3444;0.3321;0.3667;0.3452;0.3232;0.3496,0.30587613582611084,0.34161503875956817
bb_1112,0.2936398983001709,Beer.,beer flute,26,0.1877;0.2291;0.2936;0.0811;0.0349;0.2080;0.0914;0.0965;0.2201;0.0157;0.0113;0.0615;0.0518;0.2411;0.0981;0.1289;0.0770;0.0619;0.0860;0.1983;0.1681;0.0990;0.0377;0.1682;0.2893;0.2225,0.011319562792778015,0.13302528514311865
bb_1115,0.14229728281497955,"The traditional bingo call for the number 76 is ""Two little boys"".",The Trombone,35,0.0161;0.1169;0.0485;0.0634;0.0481;0.0502;0.0162;0.0198;0.0630;0.0666;0.0585;0.0703;0.0678;0.0353;0.0507;0.0718;0.0967;0.1075;0.0655;0.0924;0.1328;0.0530;0.0366;0.1012;0.0714;0.1026;0.1259;0.1017;0.0986;0.1005;0.0391;0.1118;0.0767;0.1423;0.0629,0.016140788793563843,0.07378406184060234
bb_113,0.3780578374862671,England.,HÉireann,50,0.0732;0.0266;0.0028;0.0350;0.2545;0.0262;0.0316;0.0713;0.0377;0.0674;0.0609;0.0211;0.0868;0.1070;0.0266;0.1049;0.1585;0.0528;0.1837;0.0477;0.1002;0.1341;0.0694;0.1194;0.0618;0.0834;0.1576;0.0617;0.0746;0.0527;0.0992;0.0959;0.0700;0.1380;0.0646;0.3781;0.0735;0.0598;0.0829;0.1020;0.1349;0.1178;0.1144;0.0251;0.1116;0.0679;0.0610;0.0848;0.0558;0.0985,0.00277651846408844,0.08853746205568314
bb_1135,0.8921868205070496,Sunlight.,Sunlight,33,0.7239;0.4197;0.3885;0.1652;0.8482;0.7253;0.4129;0.1774;0.3563;0.1561;0.8343;0.4353;0.7342;0.2656;0.2434;0.1827;0.4837;0.2553;0.1262;0.8922;0.2376;0.5884;0.4587;0.1708;0.7702;0.3264;0.2014;0.7594;0.1380;0.6042;0.7595;0.3430;0.4572,0.12618756294250488,0.4436685993815913
bb_1149,0.544323205947876,Snake.,snake,29,0.1840;0.1593;0.1283;0.1191;0.2399;0.2285;0.2171;0.0482;0.0523;0.0732;0.5443;0.0889;0.0445;0.3494;0.1976;0.3971;0.1448;0.2345;0.1425;0.0683;0.2291;0.3253;0.1686;0.1854;0.1267;0.2281;0.3411;0.0494;0.1227,0.04449629783630371,0.1875232653371219
