question_id,bleurt_score,generated_answer,best_reference,num_references,all_scores,min_score,avg_score
bb_1007,-0.948708176612854,"The old Lansdowne Road stadium, which was home to Irish rugby and soccer teams.",royal irish parks stadium,7,-1.1232;-1.0075;-0.9487;-1.1232;-1.1232;-1.0075;-0.9487,-1.1232154369354248,-1.040290287562779
bb_1009,-1.3467308282852173,Google Wave.,waves,36,-1.4389;-1.6768;-1.7158;-1.3674;-1.5835;-1.3467;-1.6353;-1.7878;-1.7877;-1.5124;-1.7323;-1.5559;-1.3547;-1.5321;-1.5586;-1.6249;-1.5454;-1.4389;-1.3547;-1.7640;-1.7323;-1.7857;-1.6249;-1.6249;-1.3674;-1.5454;-1.6353;-1.6353;-1.5124;-1.6768;-1.7158;-1.3467;-1.5835;-1.5586;-1.7878;-1.6417,-1.787758469581604,-1.5857819881704118
bb_1010,-0.584166944026947,Isleworth.,staines,15,-0.5842;-0.8995;-0.9161;-0.8090;-0.7316;-0.6526;-0.8626;-0.5842;-1.0005;-0.7938;-0.9212;-0.8594;-0.8297;-1.1030;-0.8626,-1.1029629707336426,-0.8273276607195537
bb_1013,0.6190395355224609,Concepcion.,concepción,6,-0.5819;0.6190;0.6190;0.6190;-0.5118;0.6190,-0.5819163918495178,0.2304112215836843
bb_1026,0.6262801289558411,"""The Barefoot Bandit""",The Barefoot Bandit,14,-1.6500;-1.0431;-0.6653;-1.6541;0.4713;0.6263;-1.6541;-0.6653;0.4713;0.4713;-1.7149;-1.6500;-1.0431;-1.7149,-1.7148995399475098,-0.8153257093259266
bb_1029,-1.4857683181762695,"The seat of Ian Paisley, who passed away on 12 April 2019.",Thirsk and Malton (UK Parliament constituency),8,-1.6524;-1.5733;-1.6755;-1.4992;-1.6524;-1.4858;-1.5735;-1.4992,-1.675502061843872,-1.5764205306768417
bb_1051,-1.4936649799346924,The Empress of Blandings is a pig.,piggeh,13,-1.9165;-1.5887;-1.4937;-1.7703;-1.9165;-1.9165;-1.7922;-2.0282;-2.0282;-1.7922;-1.4937;-1.5202;-1.7703,-2.028243064880371,-1.7713304666372447
bb_1061,-1.2660185098648071,The right section can type most English words.,Left (disambiguation),6,-1.7741;-1.3529;-1.5423;-1.5423;-1.2660;-1.7254,-1.7741305828094482,-1.5338275631268818
bb_1064,-1.1060148477554321,"Avatar was the highest grossing movie of 2010, earning over $2.7 billion at the global box office.",Disney's Toy Story 3,19,-1.4408;-1.2685;-1.2323;-1.3032;-1.1657;-1.3463;-1.3595;-1.2326;-1.3482;-1.2326;-1.2323;-1.3482;-1.2326;-1.3595;-1.2685;-1.4335;-1.1060;-1.3774;-1.4408,-1.4407684803009033,-1.3014993793086003
bb_1078,0.7695980072021484,Wolfgang Amadeus Mozart.,wolfgang amadeus mozart,72,-0.5489;-0.7781;-0.6204;-0.5966;-1.4240;-0.4727;-0.4206;0.7696;-0.4429;-0.0361;-0.4111;-1.0434;-0.0361;-1.1055;-0.1574;-0.0361;-0.5782;0.3089;-0.4590;-0.9507;0.2549;0.6808;0.3370;-1.0198;0.6811;-1.2272;-0.0878;-0.6572;-0.5933;-0.5330;-0.5112;-0.4076;0.2175;0.3089;-0.5782;-0.5511;0.3059;-1.4240;-0.5517;-1.2272;-0.5112;-0.5129;0.7696;-1.0198;-0.8025;-0.9507;-1.0434;0.2175;-0.4429;-0.5966;-0.5489;-1.1055;-0.0361;-0.3271;-0.4111;0.6808;-0.5330;0.7696;-0.7781;-0.0541;-0.0361;-0.4076;-0.6572;-0.4961;-0.4961;-0.0361;0.3089;0.3089;-0.1574;0.3370;0.6811;-0.4908,-1.4240436553955078,-0.3333398931038876
